feature,psi,alarm,ref_mean,cur_mean,n_ref,n_cur
ev_bucket_2,6.498355170104717,True,31.638333333333332,5.664,600,500
count_message_response_30d,0.3916562278904005,True,11.958333333333334,14.35,600,500
sum_message_response_30d,0.3916562278904005,True,11.958333333333334,14.35,600,500
ev_bucket_1,0.3916562278904005,True,30.948333333333334,37.138,600,500
sum_app_open_30d,0.36333100136515406,True,38.97,46.764,600,500
count_app_open_30d,0.36333100136515406,True,38.97,46.764,600,500
ev_bucket_0,0.33973686124223634,True,30.696666666666665,36.836,600,500
count_glucose_log_30d,0.3196015703104754,True,15.436666666666667,18.524,600,500
sum_glucose_log_30d,0.2866815150764888,True,2075.3610965668036,2490.433315880164,600,500
